name,brand,model,category,price,description,image_url,official_url
RF美容器,パナソニック,EH-SR72,bigankiki,35800,RF(ラジオ波)と超音波のリフトテクノロジー搭載。,,
導入美顔器 イオンエフェクター 高浸透タイプ,パナソニック,EH-ST98,bigankiki,39000,6つのモードを搭載し、美容成分をしっかり届ける上位モデル。,,
イオン美顔器 イオンブースト,パナソニック,EH-ST99,bigankiki,40300,浸透と引き締め。手塗りでは届かない成分を角質層まで届ける。,,
Brighte ELEKI BRUSH+,Aiロボティクス,BRT-FSB180,bigankiki,27231,本格EMS、RF、LEDを搭載した全身に使えるブラシ型美顔器。,,
Brighte ELEKI LIFT Natural,Aiロボティクス,BRT-FL170MB,bigankiki,18700,顔のリフトケアに特化した美顔器。モカブラウンカラー。,,
Brighte ELEKI LIFT,Aiロボティクス,BRT-FL170LB,bigankiki,17550,EMSとRFで顔の筋肉を刺激するリフト美顔器。アイスブルーカラー。,,
Brighte ELEKI LIFT,Aiロボティクス,BRT-FL170,bigankiki,19800,リフトアップケアに適した顔用美顔器。ブラックカラー。,,
Brighte ELEKI BRUSH+,Aiロボティクス,BRT-FSB180PK,bigankiki,29000,全身のケアが可能なブラシ型美顔器。ピンクカラー。,,
Brighte ELEKI BRUSH+,Aiロボティクス,BRT-FSB180LB,bigankiki,41218,ブラシ型美顔器。限定カラーまたは販路別のアイスブルー。,,
リフトロジー,ヤーマン,YJFD1N,bigankiki,26781,リフトケア特化型美顔器。顔用、充電式、IPX5防水対応。,,
ブルーグリーンマスク リフト,ヤーマン,YJMF4L,bigankiki,77000,装着して使用するマスク型美顔器。顔用、充電式。,,
ブルーグリーンショット,ヤーマン,YJFC0B,bigankiki,26799,光を利用してケアする光美顔器。交流式。,,
リフトロジー SP,ヤーマン,YJFD2L,bigankiki,40500,リフトケア特化型美顔器。IPX5防水対応で顔用。,,
フォトプラス ディープリフト,ヤーマン,YJFA1,bigankiki,63000,多機能型の美顔器。顔用、充電式。,,
フォトプラス プレステージ SP,ヤーマン,M22YL1,bigankiki,116280,サロン品質のケアができるプレステージモデル。,,
ミーゼ ニードルリフトブラシ,ヤーマン,MS-83S,bigankiki,32000,ブラシ形状でケアする美顔器。充電式、IPX5防水。,,
フォトプラス シャイニー ネオ,ヤーマン,YJFM18N,bigankiki,49699,毎日のケアからスペシャルケアまで対応する充電式美顔器。,,
フォトプラス プレステージ SP III,ヤーマン,YJFM25B,bigankiki,189000,ハイエンドな多機能美顔器。IPX5防水、充電交流両用。,,
フォトプラス プレステージ SP II,ヤーマン,YJFM24VB,bigankiki,99800,多機能なプレステージモデルの美顔器。充電交流両用、IPX5防水。,,
RF ボーテ フォトプラス シャイニー,ヤーマン,M18,bigankiki,46580,デイリーケアに対応した充電式美顔器。,,
Bloom 6,ヤーマン,YJFS16PN-1,bigankiki,58000,エイジングケアに特化した充電・交流両用美顔器。,,
リフトロジー プロ,ヤーマン,YJFD5B,bigankiki,65000,リフトケアに特化した上位モデル。充電式、IPX5防水。,,
RF ボーテ ブライトリフト,ヤーマン,HRF-40,bigankiki,4886,肌の明るさをケアする美顔器。充電式。,,
フォトプラス EX,ヤーマン,HRF20N,bigankiki,49500,直販モデルの多機能美顔器。充電・交流両用。,,
ブルーグリーンマスク,ヤーマン,YJMF0L,bigankiki,88000,顔に装着して使用するマスク型美顔器。,,
ハイパーフェイスリフトブラシ,ヤーマン,YJFD0L,bigankiki,94800,ブラシ型のリフトケア美顔器。IPX5防水対応。,,
サークルピーリングプロ,ヤーマン,HDS-30N,bigankiki,6500,毛穴ケアができるソニック美顔器。充電式。,,
クリアージュ アイリフト フロッサム,ヤーマン,CR07D,bigankiki,23800,目元のエイジングケアに特化した充電式美顔器。,,
RF ボーテ フォトプラス EX eye pro,ヤーマン,HRF-20T-EYE,bigankiki,35000,目元ケア(アイケア)モードを搭載した美顔器。,,
RF ボーテ フォトPLUS,ヤーマン,HRF-10T,bigankiki,40700,RF(ラジオ波)を利用した定番の多機能美顔器。,,
RF ボーテ フォトプラス EX eye pro,ヤーマン,HRF-20P-EYE,bigankiki,43000,アイケアモード搭載の多機能美顔器。,,
RF ボーテ Bloom WR,ヤーマン,S12-YL,bigankiki,45000,エイジングケアに特化した美顔器。充電式。,,
リフトロジー SP,ヤーマン,YJFD2P,bigankiki,58300,リフトケア特化型美顔器のシェルピンクカラー。IPX5防水。,,
THE MIYABI,ヤーマン,YJFG0D,bigankiki,355000,ヤーマンの最高峰ハイエンド美顔器。IPX5防水。,,
プラチナホワイト ソニック,ヤーマン,HSI-13,bigankiki,2980,超音波によるケアができる美顔器。,,
H/C ボーテ フェイスV,ヤーマン,HB-10N,bigankiki,6979,温冷ケアに対応した美顔器。充電・交流両用。,,
クリアージュ ソニックスパリフト,ヤーマン,CR-08,bigankiki,8250,超音波で毛穴洗浄を行う美顔器。IPX7防水対応。,,
RF ボーテ ブルーム レッド,ヤーマン,S10,bigankiki,19800,赤色LEDやRFを搭載した美顔器。,,
ミーゼ ディープスキンクリア,ヤーマン,MS-43P,bigankiki,19800,全身に使えるピーリング美顔器。IPX5防水。,,
RF ボーテ ブルーム,ヤーマン,RF-BLOOM,bigankiki,22000,RF(ラジオ波)に特化した美顔器。充電式。,,
ポイントリフト,ヤーマン,EP-30,bigankiki,22000,ピンポイントでリフトケアができる美顔器。,,
RF ボーテ フォトPLUS ホリデイキット,ヤーマン,HRF-10T-CFR,bigankiki,26400,フォトPLUSの特別キットモデル。,,
フォトプラス シャイニー ネオ スペシャルケアセットII,ヤーマン,YJFM18N5,bigankiki,32706,シャイニーネオのスペシャルケアセット。,,
RF ボーテ Bloom 5,ヤーマン,YJFS16YL,bigankiki,44500,エイジングケア美顔器。充電・交流両用。,,
RF ボーテ フォトプラス PLUS M,ヤーマン,M10T PLUS,bigankiki,44800,フォトプラスシリーズの多機能モデル。,,
Bloom WR STAR,ヤーマン,S12 PLUS,bigankiki,49800,エイジングケア美顔器の特別モデル。充電式。,,
フォトプラス EX スムースS,ヤーマン,HRF-20L-2,bigankiki,52800,低刺激モデルで肌にやさしい直販限定美顔器。,,
RF ボーテ フォトプラス プレステージS,ヤーマン,M-20,bigankiki,54999,サロン仕様の機能を搭載した上位モデル。,,
MYTREX PROVE,創通メディカル,MT-PV22B,bigankiki,35800,全身に使えるトータルリフト美顔器。充電式でIPX5防水対応。,,
MYTREX MiRAY RJ-40,創通メディカル,MT-MRJ4-24G,bigankiki,199800,交流式のミラー型光美容器。,,
MYTREX MiRAY ONE,創通メディカル,MT-MRO-24B,bigankiki,63880,顔用のマルチヘッド美顔器(交流式)。ブラックカラー。,,
MYTREX MiRAY ONE,創通メディカル,MT-MRO-24W,bigankiki,63880,顔用のマルチヘッド美顔器(交流式)。ホワイトカラー。,,
DOCTORAIR リフトライザー,ドリームファクトリー,BBI-01,bigankiki,16980,顔用リフトライザー。充電式でIPX4防水対応。,,
Exideal Sphera,ハスラック,EX-065WHT,bigankiki,19800,ハンディーLED美顔器。パールホワイト。,,
Exideal mini,ハスラック,EX-120,bigankiki,27699,フォトトリートメント美容器。,,
Exideal mini,ハスラック,EX-P120,bigankiki,27000,フォトトリートメント美容器。シャンパンピンク。,,
Exideal Sphera,ハスラック,EX-065BLK,bigankiki,27720,ハンディーLED美顔器。マットブラック。,,
Exideal Sphera,ハスラック,EX-065PNK,bigankiki,27720,ハンディーLED美顔器。シャンパンピンク。,,
Exideal libra,ハスラック,EX-HA03-PG,bigankiki,44958,マスク型LED美顔器。,,
Exideal ovo,ハスラック,EX-HA01PG,bigankiki,75690,ハンディーLED美顔器。,,
Exideal,ハスラック,EX-B280,bigankiki,82500,フォトトリートメント美容器。,,
Exideal,ハスラック,EX-280,bigankiki,85800,フォトトリートメント美容器。,,
Exideal,ハスラック,EX-P280,bigankiki,86000,フォトトリートメント美容器。シャンパンピンク。,,
Exideal Deux,ハスラック,EX-HA02-WTGD-PS,bigankiki,114066,LED美顔器。,,
LORY+ AerobicSculptor,COSBEAUTY,CB-060-B01-JP,bigankiki,14393,ピーリング美顔器。,,
アクリアルピーリングプロ,COSBEAUTY,CB-018-R01,bigankiki,2000,ウォーターピーリング美顔器。レッド。,,
アクリアルピーリングプロ,COSBEAUTY,CB-018-W01,bigankiki,2000,ウォーターピーリング美顔器。ホワイト。,,
アクリアルピーリング1.0,COSBEAUTY,CB-035-R01,bigankiki,3880,超音波美顔器。ワインレッド。,,
RISE R1,COSBEAUTY,CB-051-W01-JP,bigankiki,4980,プラズマ美顔器。パールホワイト。,,
アクリアルピーリングプロEX High,COSBEAUTY,CB-050H-R01-JP,bigankiki,5191,美顔器。レッド。,,
アクリアルピーリングプロEX High,COSBEAUTY,CB-050H-W01-JP,bigankiki,5476,美顔器。ホワイト。,,
アクリアルピーリングプロEX,COSBEAUTY,CB-050-K01-JP,bigankiki,5800,美顔器。,,
アクリアルピーリングプロ,COSBEAUTY,CB-018-P01,bigankiki,5980,ウォーターピーリング美顔器。パールピンク。,,
RISE R1 Air,COSBEAUTY,CB-058-W01-JP,bigankiki,6000,プラズマ美顔器。パールホワイト。,,
アクリアルピーリング1.0,COSBEAUTY,CB-035-W01,bigankiki,9679,超音波美顔器。パールホワイト。,,
RISE R1,COSBEAUTY,CB-051-P01-JP,bigankiki,9800,プラズマ美顔器。パールピンク。,,
RISE R1 Air,COSBEAUTY,CB-058-B01-JP,bigankiki,10774,プラズマ美顔器。パールディープブルー。,,
アクリアルピーリングプロEX,COSBEAUTY,CB-050-W01,bigankiki,10780,超音波美顔器。マットホワイト。,,
Lift Iron EX,COSBEAUTY,CB-054B-W01,bigankiki,17800,イオン誘導器。ホワイト。,,
ENAGE,コイズミ,KBE-2740/K,bigankiki,7200,ピーリング&超音波美顔器。,,
ENAGE,コイズミ,KBE-1140/K,bigankiki,11925,リフト美顔器 RF 目元ケア。,,
KLX-0210,コイズミ,KLX-0210,bigankiki,990,スポットケア。,,
オーメンズ,コイズミ,KMC-0310,bigankiki,1980,美顔器。,,
KBE-1320,コイズミ,KBE-1320,bigankiki,2328,スポットケア。,,
KBE-2710,コイズミ,KBE-2710,bigankiki,2980,超音波ピーリング。,,
KBE-1120,コイズミ,KBE-1120,bigankiki,3480,超音波美顔器。,,
Bijouna,コイズミ,KBE-1610,bigankiki,6399,美顔器。,,
ENAGE,コイズミ,KBE-2730,bigankiki,7490,超音波ピーリング。,,
ENAGE,コイズミ,KBE-1820/K,bigankiki,11400,リフト美顔器 ホット&クール。,,
ReFa CAXA RAY,MTG,RF-RC2316B,bigankiki,17400,美顔器。,,
ReFa BEAUTECH RAISE,MTG,RE-AA03A,bigankiki,24846,美顔器。Black。,,
ReFa BEAUTECH RAISE,MTG,RE-AA02A,bigankiki,29800,美顔器。White。,,
FACIAL FITNESS PAO,MTG,FF-PO1858F-N,bigankiki,7400,フェイシャルフィットネス。ブラック。,,
ReFa CAXA,MTG,RF-CB2340B-P,bigankiki,12100,美顔器。Pink。,,
ReFa BEAUTECH POINT,MTG,RE-AH05A,bigankiki,13590,ポイントケア美顔器。,,
ReFa CAXA,MTG,RF-CB2340B-W,bigankiki,27800,美顔器。White。,,
ReFa DERMA HEAT,MTG,RE-AM-03A,bigankiki,74440,美顔器。,,
BRiOSS チャームリフト,多田,BR-CA01P,bigankiki,3973,温感かっさ。ピンク。,,
BRiOSS チャームリフト,多田,BR-CA01C,bigankiki,3973,温感かっさ。アイボリー。,,
BRiOSS チャームリフト,多田,BR-CA01A,bigankiki,4370,温感かっさ。ブルー。,,
Un,傳心堂,UN01-W,bigankiki,57220,プラズマエアシャワー美顔器。,,
美ルル ポイントタッチ,ビューティフルエンジェル,KRD1085,bigankiki,1780,ポイントケア美顔器。,,
美ルル トリプルリッチブースター,ビューティフルエンジェル,KRD1053/WT,bigankiki,1950,ポイントケア用美顔器。リリーホワイト。,,
美ルル トリプルリッチブースター,ビューティフルエンジェル,KRD1053/PK,bigankiki,2052,ポイントケア用美顔器。アザレアピンク。,,
ミライエ ウォーターピーリング,ビューティフルエンジェル,KRD1054,bigankiki,3160,美顔器。,,
美ルル スティックゴールド,ビューティフルエンジェル,KRD-1019,bigankiki,3410,美顔器。,,
美ルル クラッシィ,ビューティフルエンジェル,KRD-1007B(S)/GD,bigankiki,6980,超音波美顔器。グロスゴールド。,,
美ルル クラッシィ,ビューティフルエンジェル,KRD-1007B(S)/MPK,bigankiki,6980,超音波美顔器。メルティーピンク。,,
美ルル クラッシィ,ビューティフルエンジェル,KRD-1007B(S)/WT,bigankiki,6980,超音波美顔器。イノセントホワイト。,,
美ルル アクアルファ,ビューティフルエンジェル,KRD-1027N-PK,bigankiki,6982,ウォーターピーリング美顔器。グロッシィピンク。,,
美ルル アクアルファ,ビューティフルエンジェル,KRD-1027N-WT,bigankiki,7220,ウォーターピーリング美顔器。グロッシィホワイト。,,
美ルル アクアルファ ハローキティ,ビューティフルエンジェル,KRD1027KT,bigankiki,7305,ウォーターピーリング美顔器。,,
美ルル クラッシィ,ビューティフルエンジェル,KRD-1007N-GD,bigankiki,11140,超音波美顔器。グロスゴールド。,,
美ルル クラッシィ,ビューティフルエンジェル,KRD-1007N-PK,bigankiki,11140,超音波美顔器。メルティーピンク。,,
美ルル クラッシィ,ビューティフルエンジェル,KRD-1007N-WT,bigankiki,11140,超音波美顔器。イノセントホワイト。,,
美ルル クラッシィ フォーメン,ビューティフルエンジェル,KRD-1007N-BK,bigankiki,13400,超音波美顔器。ブラック。,,
美ルル ヒカリ,ビューティフルエンジェル,KRD-1008,bigankiki,59800,フォトフェイシャル美顔器。,,
マイクロカレント フェイスリフトペン,GESKE,GK000013GY01,bigankiki,3300,マイクロカレントデバイス。グレー。,,
ハローキティ マイクロカレント フェイスリフトペン,GESKE,HK000014PU01,bigankiki,4120,マイクロカレントデバイス。パープル。,,
マイクロカレント フェイスリフター,GESKE,GK000015GY01,bigankiki,4120,かっさ型マイクロカレント美顔器。グレー。,,
ソニック ウォーム&クール マスク,GESKE,GK000002GY01,bigankiki,4436,多機能フェイシャルマスク。グレー。,,
マイクロカレント スキンスクライバー&ブラックヘッドリムーバー,GESKE,GK000044GY01,bigankiki,4670,ピーリング美顔器。グレー。,,
ハローキティ マイクロカレント スキンスクライバー&ブラックヘッドリムーバー,GESKE,HK000045PU01,bigankiki,4950,ピーリング美顔器。パープル。,,
ハローキティ ソニック ウォーム&クール マスク,GESKE,HK000719ST03,bigankiki,6870,温冷美顔器。,,
スキン ファーミング ワンド,GESKE,GK000068GY01,bigankiki,8800,LED美顔器。グレー。,,
FESTINO,シンプルマインド,SMHB-004-PK,bigankiki,1771,ホットトリートメント。ピンク。,,
FESTINO,シンプルマインド,SMHB-004-WH,bigankiki,2530,ホットトリートメント。ホワイト。,,
FESTINO,シンプルマインド,SMHB-003-PK,bigankiki,2870,スキントリートメント。ピンク。,,
FESTINO,シンプルマインド,SMHB-003-WH,bigankiki,2970,スキントリートメント。ホワイト。,,
FESTINO,シンプルマインド,SMHB-014-PK,bigankiki,2980,フェイシャルEMSピーリング。ピンク。,,
FESTINO,シンプルマインド,SMHB-014-WH,bigankiki,3049,フェイシャルEMSピーリング。ホワイト。,,
FESTINO,シンプルマインド,SMHB-022-WH,bigankiki,3162,スキントリートメント。ホワイト。,,
FESTINO,シンプルマインド,SMHB-022-PK,bigankiki,3340,スキントリートメント。ピンク。,,
LUSVY,ナガオカ,L201WPPK,bigankiki,2800,超音波式ウォーターピーリング。ピンク。,,
LUSVY,ナガオカ,L202WPPROWH,bigankiki,6035,超音波式ウォーターピーリング。ホワイト。,,
LUSVY,ナガオカ,L202WPPROBL,bigankiki,6578,超音波式ウォーターピーリング。ブルー。,,
LUSVY,ナガオカ,L202WPPROPK,bigankiki,6578,超音波式ウォーターピーリング。ピンク。,,
Re・De Suhada,A-Stage,FM01A-SG,bigankiki,19602,スティック美顔器。スペースグレー。,,
Re・De Suhada,A-Stage,FM01A-HG,bigankiki,17710,スティック美顔器。ヒュッゲグレー。,,
Re・De Suhada,A-Stage,FM01A-WT,bigankiki,19602,スティック美顔器。ホワイト。,,
